Order,Cluster,Status,Path,Slug,Page Title,Meta Title,H1,Page Brief,Primary CTA Label,Primary CTA Target,Internal-Link Targets,Notes / Redirects
12,Rijtypes,Bestaand + redirect uit use case,/nl/guides/mountain-bike-fit-guide,guides/mountain-bike-fit-guide,MTB fitgids,MTB fitgids | BestBikeFit4U,MTB fitgids,Legt MTB-fit uit rond klimtractie; bewegingsvrijheid en voorwielcontrole.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/crank-length-guide; /nl/guides/stance-width-q-factor-and-pedal-spacer-guide; /nl/guides/bike-fit-for-hand-numbness-and-wrist-pain; /nl/guides/ride-types",301-redirect /nl/use-cases/mountain-cycling-fit hierheen. Houd MTB-bandenspanning als secundaire utility-link.
13,Rijtypes,Bestaand + redirect uit use case,/nl/guides/triathlon-bike-fit-guide,guides/triathlon-bike-fit-guide,Triathlon fitgids,Triathlon fitgids | BestBikeFit4U,Triathlon fitgids,Behandelt triathlon-fit rond zadelondersteuning; heuphoek; duurzame aero en het bewaren van een goede loopprestatie.,Start gratis fit,/nl/login,"/nl/guides/endurance-bike-fit-guide; /nl/guides/handlebar-drop-guide; /nl/guides/saddle-fore-aft-and-tilt-guide; /nl/about",301-redirect /nl/use-cases/triathlon-bike-fit hierheen.
14,Rijtypes,Nieuw uit use case,/nl/guides/endurance-bike-fit-guide,guides/endurance-bike-fit-guide,Endurance fitgids,Endurance fitgids | BestBikeFit4U,Endurance fitgids,Plaatst endurance-fit als duurzaamheid; vermoeidheidsbestendigheid en support voor lange ritten in plaats van alleen een rechtere houding.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/road-bike-fit-guide; /nl/guides/bike-fitting-for-lower-back-pain; /nl/guides/handlebar-drop-guide; /nl/guides/cycling-fueling-basics",Maak van /nl/use-cases/endurance-cycling-fit een canonical guide en redirect die legacy-URL hierheen.
15,Rijtypes,Nieuw,/nl/guides/indoor-trainer-bike-fit-guide,guides/indoor-trainer-bike-fit-guide,Indoor trainer fitgids,Indoor trainer fitgids | BestBikeFit4U,Indoor trainer fitgids,Legt uit waarom indoor training drukpunten versterkt en een iets andere volgorde van fitchecks vraagt.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/endurance-bike-fit-guide; /nl/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores; /nl/guides/hydration-and-sweat-rate-guide; /nl/guides/handlebar-width-and-hood-position-guide",
16,Rijdersprofielen,Nieuw,/nl/guides/rider-profiles,guides/rider-profiles,Bikefitting gidsen per rijdersprofiel,Bikefitting gidsen per rijdersprofiel | BestBikeFit4U,Bikefitting gidsen per rijdersprofiel,Brengt content samen voor rijders bij wie lichaamsbouw of belastbaarheid standaard fitkeuzes verandert.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/bike-fit-for-tall-riders; /nl/guides/bike-fit-for-riders-with-a-shorter-torso; /nl/guides/bike-fit-for-riders-with-limited-flexibility; /nl/guides/bike-fit-for-beginners-and-returning-riders",
17,Rijdersprofielen,Nieuw uit use case,/nl/guides/bike-fit-for-tall-riders,guides/bike-fit-for-tall-riders,Bikefit voor lange rijders,Bikefit voor lange rijders | BestBikeFit4U,Bikefit voor lange rijders,Helpt lange rijders frame-; cockpit- en componentkeuzes te beoordelen die ook op grotere maten schoon blijven werken.,Open framemaat calculator,/nl/calculators/frame-size,"/nl/guides/frame-size-guide; /nl/science/stack-and-reach; /nl/guides/road-vs-endurance-vs-race-geometry; /nl/guides/reach-and-stem-guide",Maak van /nl/use-cases/tall-rider-bike-fit een canonical guide en redirect die legacy-URL hierheen.
18,Rijdersprofielen,Nieuw uit use case,/nl/guides/bike-fit-for-riders-with-a-shorter-torso,guides/bike-fit-for-riders-with-a-shorter-torso,Bikefit voor rijders met een kortere romp,Bikefit voor rijders met een kortere romp | BestBikeFit4U,Bikefit voor rijders met een kortere romp,Legt uit waarom rijders met een kortere romp zich vaak te gestrekt voelen op frames die op papier wel kloppen.,Open framemaat calculator,/nl/calculators/frame-size,"/nl/guides/frame-size-guide; /nl/guides/reach-and-stem-guide; /nl/guides/handlebar-drop-guide; /nl/guides/road-bike-fit-guide",Maak van /nl/use-cases/short-torso-bike-fit een canonical guide en redirect die legacy-URL hierheen.
19,Rijdersprofielen,Nieuw,/nl/guides/bike-fit-for-riders-with-limited-flexibility,guides/bike-fit-for-riders-with-limited-flexibility,Bikefit voor rijders met beperkte flexibiliteit,Bikefit voor beperkte flexibiliteit | BestBikeFit4U,Bikefit voor rijders met beperkte flexibiliteit,Laat zien dat flexibiliteit duurzame drop en reach sterker begrenst dan ambitie.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/handlebar-drop-guide; /nl/guides/bike-fitting-for-lower-back-pain; /nl/guides/endurance-bike-fit-guide; /nl/about",
20,Rijdersprofielen,Nieuw,/nl/guides/bike-fit-for-beginners-and-returning-riders,guides/bike-fit-for-beginners-and-returning-riders,Bikefit voor beginners en terugkerende rijders,Beginners bikefitgids | BestBikeFit4U,Bikefit voor beginners en terugkerende rijders,Geeft beginners en terugkerende rijders een conservatief en vertrouwenwekkend startpunt.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/endurance-bike-fit-guide; /nl/guides/saddle-height-guide; /nl/guides/frame-size-guide; /nl/about",
21,Setup-parameters,Nieuw,/nl/guides/setup-parameters,guides/setup-parameters,Gidsen voor bike setup-parameters,Gidsen voor bike setup-parameters | BestBikeFit4U,Gidsen voor bike setup-parameters,Legt de outputvariabelen uit die BestBikeFit4U aanbeveelt en wat elk getal op een echte fiets betekent.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/saddle-height-guide; /nl/guides/reach-and-stem-guide; /nl/guides/handlebar-drop-guide; /nl/guides/crank-length-guide",
22,Setup-parameters,Nieuw,/nl/guides/saddle-height-guide,guides/saddle-height-guide,Zadelhoogtegids,Zadelhoogtegids | BestBikeFit4U,Zadelhoogtegids,Behandelt de logica van zadelhoogte; de meetmethode; validatie en signalen van te hoog of te laag instellen.,Open zadelhoogte calculator,/nl/calculators/saddle-height,"/nl/guides/bike-fitting-for-knee-pain; /nl/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores; /nl/guides/road-bike-fit-guide; /nl/about",
23,Setup-parameters,Nieuw,/nl/guides/saddle-fore-aft-and-tilt-guide,guides/saddle-fore-aft-and-tilt-guide,Gids voor zadel voor-achter en kanteling,Gids voor zadel voor-achter en kanteling | BestBikeFit4U,Gids voor zadel voor-achter en kanteling,Legt uit hoe setback en kanteling samen de bekkenstabiliteit en drukverdeling beïnvloeden.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/bike-fitting-for-knee-pain; /nl/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores; /nl/guides/triathlon-bike-fit-guide; /nl/about",
24,Setup-parameters,Nieuw,/nl/guides/reach-and-stem-guide,guides/reach-and-stem-guide,Gids voor reach en stuurpen,Reach- en stuurpengids | BestBikeFit4U,Gids voor reach en stuurpen,Laat zien hoe framereach; stuurpenlengte; barvorm en hoodpositie samen de totale cockpitlengte bepalen.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/road-bike-fit-guide; /nl/guides/bike-fitting-for-lower-back-pain; /nl/guides/bike-fit-for-neck-and-shoulder-pain; /nl/guides/frame-size-guide",
25,Setup-parameters,Nieuw,/nl/guides/handlebar-drop-guide,guides/handlebar-drop-guide,Gids voor stuurdrop,Stuurdropgids | BestBikeFit4U,Gids voor stuurdrop,Legt duurzame stuurdrop uit op basis van flexibiliteit; core-stabiliteit en rijdoel.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/endurance-bike-fit-guide; /nl/guides/triathlon-bike-fit-guide; /nl/guides/bike-fitting-for-lower-back-pain; /nl/guides/bike-fit-for-riders-with-limited-flexibility",
26,Setup-parameters,Nieuw,/nl/guides/crank-length-guide,guides/crank-length-guide,Cranklengtegids,Cranklengtegids | BestBikeFit4U,Cranklengtegids,Behandelt wanneer cranklengte echt een fithefboom is voor gewrichtsbereik; heuphoek en controle.,Open cranklengte calculator,/nl/calculators/crank-length,"/nl/guides/mountain-bike-fit-guide; /nl/guides/triathlon-bike-fit-guide; /nl/guides/bike-fitting-for-knee-pain; /nl/about",
27,Setup-parameters,Nieuw,/nl/guides/handlebar-width-and-hood-position-guide,guides/handlebar-width-and-hood-position-guide,Gids voor stuurbreedte en hoodpositie,Stuurbreedte- en hoodpositiegids | BestBikeFit4U,Gids voor stuurbreedte en hoodpositie,Legt stuurbreedte; hoodrotatie en remgreepbereik uit als comfort- en controlevariabelen in plaats van details.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/bike-fit-for-neck-and-shoulder-pain; /nl/guides/bike-fit-for-hand-numbness-and-wrist-pain; /nl/guides/gravel-bike-fit-guide; /nl/guides/road-bike-fit-guide",
28,Schoen / voet / cleat-fit,Nieuw,/nl/guides/shoe-foot-cleat-fit,guides/shoe-foot-cleat-fit,Gidsen voor schoen-; voet- en cleat-fit,Gidsen voor schoen-; voet- en cleat-fit | BestBikeFit4U,Gidsen voor schoen-; voet- en cleat-fit,Introduceert de voet als primair contactpunt en leidt gebruikers naar de gedetailleerde schoen- en cleatworkflow.,Open schoen- / cleatmodule,/nl/dashboard/shoe-cleat-fit,"/nl/guides/foot-measurement-guide-for-cyclists; /nl/guides/cleat-position-basics-guide; /nl/guides/cycling-shoe-fit-width-and-last-guide; /nl/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes",
29,Schoen / voet / cleat-fit,Nieuw,/nl/guides/foot-measurement-guide-for-cyclists,guides/foot-measurement-guide-for-cyclists,Voetmeetgids voor fietsers,Voetmeetgids voor fietsers | BestBikeFit4U,Voetmeetgids voor fietsers,Laat rijders zien hoe ze voetlengte; breedte en links-rechtsverschillen thuis nauwkeurig meten.,Open schoen- / cleatmodule,/nl/dashboard/shoe-cleat-fit,"/nl/guides/shoe-foot-cleat-fit; /nl/guides/cycling-shoe-fit-width-and-last-guide; /nl/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /nl/guides/cleat-position-basics-guide",
30,Schoen / voet / cleat-fit,Nieuw,/nl/guides/cycling-shoe-fit-width-and-last-guide,guides/cycling-shoe-fit-width-and-last-guide,Gids voor fietsschoen-fit; breedte en leest,Fietsschoen-fit en breedtegids | BestBikeFit4U,Gids voor fietsschoen-fit; breedte en leest,Legt schoenvorm; breedte; volume en leestkeuze uit voordat rijders cleatveranderingen gaan najagen.,Open schoen- / cleatmodule,/nl/dashboard/shoe-cleat-fit,"/nl/guides/foot-measurement-guide-for-cyclists; /nl/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /nl/guides/insoles-arch-support-and-footbeds-guide; /nl/guides/cleat-position-basics-guide",
31,Schoen / voet / cleat-fit,Nieuw,/nl/guides/cleat-position-basics-guide,guides/cleat-position-basics-guide,Gids voor de basis van cleatpositie,Gids voor de basis van cleatpositie | BestBikeFit4U,Gids voor de basis van cleatpositie,Geeft een veilig publiek startpunt voor cleat voor-achter; rotatie; float en neutrale setup.,Open schoen- / cleatmodule,/nl/dashboard/shoe-cleat-fit,"/nl/guides/bike-fitting-for-knee-pain; /nl/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /nl/guides/stance-width-q-factor-and-pedal-spacer-guide; /nl/guides/cycling-shoe-fit-width-and-last-guide",
32,Schoen / voet / cleat-fit,Nieuw,/nl/guides/stance-width-q-factor-and-pedal-spacer-guide,guides/stance-width-q-factor-and-pedal-spacer-guide,Gids voor standbreedte; Q-factor en pedaalspacers,Standbreedte- en Q-factorgids | BestBikeFit4U,Gids voor standbreedte; Q-factor en pedaalspacers,Legt standbreedte; pedaalspacers en Q-factor uit wanneer knie- of heuptracking beperkt voelt.,Open schoen- / cleatmodule,/nl/dashboard/shoe-cleat-fit,"/nl/guides/cleat-position-basics-guide; /nl/guides/bike-fitting-for-knee-pain; /nl/guides/mountain-bike-fit-guide; /nl/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes",
33,Schoen / voet / cleat-fit,Nieuw,/nl/guides/insoles-arch-support-and-footbeds-guide,guides/insoles-arch-support-and-footbeds-guide,Gids voor inlegzolen; boogsupport en footbeds,Inlegzolen- en boogsupportgids | BestBikeFit4U,Gids voor inlegzolen; boogsupport en footbeds,Behandelt standaardinlegzolen versus extra support en het risico op overcorrectie van de voet.,Open schoen- / cleatmodule,/nl/dashboard/shoe-cleat-fit,"/nl/guides/foot-measurement-guide-for-cyclists; /nl/guides/cycling-shoe-fit-width-and-last-guide; /nl/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /nl/guides/when-online-bike-fit-has-limits",
34,Fietsmaat & geometrie,Nieuw,/nl/guides/bike-size-and-geometry,guides/bike-size-and-geometry,Gidsen voor fietsmaat en geometrie,Gidsen voor fietsmaat en geometrie | BestBikeFit4U,Gidsen voor fietsmaat en geometrie,Helpt rijders lichaamsmaten te vertalen naar realistische framedoelen en betere shortlistbeslissingen.,Open framemaat calculator,/nl/calculators/frame-size,"/nl/guides/frame-size-guide; /nl/science/stack-and-reach; /nl/guides/road-vs-endurance-vs-race-geometry; /nl/guides/how-to-compare-two-bikes-for-fit",
35,Fietsmaat & geometrie,Nieuw,/nl/guides/frame-size-guide,guides/frame-size-guide,Framemaatgids,Framemaatgids | BestBikeFit4U,Framemaatgids,Legt uit waarom framemaatlabels zwakke voorspellers zijn en wat rijders beter kunnen vergelijken.,Open framemaat calculator,/nl/calculators/frame-size,"/nl/science/stack-and-reach; /nl/guides/bike-fit-for-tall-riders; /nl/guides/bike-fit-for-riders-with-a-shorter-torso; /nl/guides/road-vs-endurance-vs-race-geometry",
36,Fietsmaat & geometrie,Bestaande sciencepagina + herclassificeren,/nl/science/stack-and-reach,science/stack-and-reach,Stack en reach uitgelegd,Stack en reach uitgelegd | BestBikeFit4U,Stack en reach uitgelegd,Legt stack en reach in duidelijke taal uit en hoe ze samenhangen met lichaamsfit en fietskeuze.,Open framemaat calculator,/nl/calculators/frame-size,"/nl/guides/frame-size-guide; /nl/guides/how-to-compare-two-bikes-for-fit; /nl/guides/road-bike-fit-guide; /nl/about",Behoud het bestaande science-pad voor V1 maar geef deze pagina een plek in de Guides IA en footer.
37,Fietsmaat & geometrie,Nieuw,/nl/guides/road-vs-endurance-vs-race-geometry,guides/road-vs-endurance-vs-race-geometry,Road vs endurance vs race-geometrie,Road vs endurance vs race-geometrie | BestBikeFit4U,Road vs endurance vs race-geometrie,Vergelijkt geometriecategorieën zodat rijders begrijpen hoe race-; endurance- en roadposities verschillen.,Open framemaat calculator,/nl/calculators/frame-size,"/nl/guides/frame-size-guide; /nl/science/stack-and-reach; /nl/guides/road-bike-fit-guide; /nl/guides/endurance-bike-fit-guide",
38,Fietsmaat & geometrie,Nieuw,/nl/guides/how-to-compare-two-bikes-for-fit,guides/how-to-compare-two-bikes-for-fit,Hoe je twee fietsen op fit vergelijkt,Hoe je twee fietsen op fit vergelijkt | BestBikeFit4U,Hoe je twee fietsen op fit vergelijkt,Laat zien hoe je twee kandidaatfietsen vergelijkt op stack; reach; cockpitverstelbaarheid en fitrisico.,Open fietsen vergelijken,/nl/bikes/compare-fit,"/nl/science/stack-and-reach; /nl/guides/frame-size-guide; /nl/guides/road-vs-endurance-vs-race-geometry; /nl/guides/bike-fit-for-tall-riders",
39,Voeding & hydratatie,Nieuw,/nl/guides/nutrition-and-hydration,guides/nutrition-and-hydration,Gidsen voor wielervoeding en hydratatie,Gidsen voor wielervoeding en hydratatie | BestBikeFit4U,Gidsen voor wielervoeding en hydratatie,Introduceert praktische publieke voedingsrichtlijnen en legt uit wat de toekomstige planner zal personaliseren.,Open brandstof- en hydratatieplanner,/nl/calculators/fuel-hydration,"/nl/guides/cycling-fueling-basics; /nl/guides/carbs-per-hour-guide; /nl/guides/hydration-and-sweat-rate-guide; /nl/guides/sodium-and-electrolytes-guide",
40,Voeding & hydratatie,Nieuw,/nl/guides/cycling-fueling-basics,guides/cycling-fueling-basics,Basis van wielervoeding,Basis van wielervoeding | BestBikeFit4U,Basis van wielervoeding,Geeft beginners een eenvoudig model voor voor; tijdens en na de rit dat ze echt kunnen gebruiken.,Open brandstof- en hydratatieplanner,/nl/calculators/fuel-hydration,"/nl/guides/carbs-per-hour-guide; /nl/guides/hydration-and-sweat-rate-guide; /nl/guides/endurance-bike-fit-guide; /nl/guides/indoor-trainer-bike-fit-guide",
41,Voeding & hydratatie,Nieuw,/nl/guides/carbs-per-hour-guide,guides/carbs-per-hour-guide,Gids voor koolhydraten per uur,Gids voor koolhydraten per uur | BestBikeFit4U,Gids voor koolhydraten per uur,Legt de koolhydraatbehoefte uit naar duur; intensiteit en darmtolerantie.,Open brandstof- en hydratatieplanner,/nl/calculators/fuel-hydration,"/nl/guides/cycling-fueling-basics; /nl/guides/hydration-and-sweat-rate-guide; /nl/guides/sodium-and-electrolytes-guide; /nl/guides/climb-time-and-event-pacing-guide",
42,Voeding & hydratatie,Nieuw,/nl/guides/hydration-and-sweat-rate-guide,guides/hydration-and-sweat-rate-guide,Hydratatie- en zweetrategids,Hydratatie- en zweetrategids | BestBikeFit4U,Hydratatie- en zweetrategids,Laat zien hoe je zweetverlies schat en vertaalt naar een flesplan.,Open brandstof- en hydratatieplanner,/nl/calculators/fuel-hydration,"/nl/guides/cycling-fueling-basics; /nl/guides/sodium-and-electrolytes-guide; /nl/guides/indoor-trainer-bike-fit-guide; /nl/guides/endurance-bike-fit-guide",
43,Voeding & hydratatie,Nieuw,/nl/guides/sodium-and-electrolytes-guide,guides/sodium-and-electrolytes-guide,Natrium- en elektrolytengids,Natrium- en elektrolytengids | BestBikeFit4U,Natrium- en elektrolytengids,Legt uit wanneer natrium ertoe doet en hoe je in bruikbare ranges denkt in plaats van schijnprecisie.,Open brandstof- en hydratatieplanner,/nl/calculators/fuel-hydration,"/nl/guides/hydration-and-sweat-rate-guide; /nl/guides/cycling-fueling-basics; /nl/guides/carbs-per-hour-guide; /nl/guides/climb-time-and-event-pacing-guide",
44,Power / FTP / pacing,Nieuw,/nl/guides/power-ftp-pacing,guides/power-ftp-pacing,Gidsen voor power; FTP en pacing,Gidsen voor power; FTP en pacing | BestBikeFit4U,Gidsen voor power; FTP en pacing,Brengt prestatietools samen en legt uit hoe power; snelheid en pacing in het platform passen.,Open FTP- / W/kg-calculator,/nl/calculators/ftp-wkg,"/nl/guides/ftp-explained; /nl/guides/wkg-and-power-zones-guide; /nl/guides/power-to-speed-guide; /nl/guides/climb-time-and-event-pacing-guide",
45,Power / FTP / pacing,Nieuw,/nl/guides/ftp-explained,guides/ftp-explained,FTP uitgelegd,FTP uitgelegd | BestBikeFit4U,FTP uitgelegd,Definieert FTP; de beperkingen ervan en hoe rijders het moeten gebruiken voor training en pacing.,Open FTP- / W/kg-calculator,/nl/calculators/ftp-wkg,"/nl/guides/wkg-and-power-zones-guide; /nl/guides/power-to-speed-guide; /nl/about; /nl/guides/triathlon-bike-fit-guide",
46,Power / FTP / pacing,Nieuw,/nl/guides/wkg-and-power-zones-guide,guides/wkg-and-power-zones-guide,Gids voor W/kg en powerzones,W/kg- en powerzonesgids | BestBikeFit4U,Gids voor W/kg en powerzones,Legt threshold-afgeleide zones uit en waarom W/kg op klimmen belangrijker is dan op het vlakke.,Open FTP- / W/kg-calculator,/nl/calculators/ftp-wkg,"/nl/guides/ftp-explained; /nl/guides/power-to-speed-guide; /nl/guides/climb-time-and-event-pacing-guide; /nl/guides/endurance-bike-fit-guide",
47,Power / FTP / pacing,Nieuw,/nl/guides/power-to-speed-guide,guides/power-to-speed-guide,Gids voor power naar snelheid,Power-naar-snelheidsgids | BestBikeFit4U,Gids voor power naar snelheid,Laat zien hoe power; aerodynamica; gewicht; banden; helling en weer de snelheid beïnvloeden.,Open power- / snelheidsschatting,/nl/calculators/power-speed,"/nl/guides/ftp-explained; /nl/guides/wkg-and-power-zones-guide; /nl/about; /nl/guides/road-bike-fit-guide",
48,Power / FTP / pacing,Nieuw,/nl/guides/climb-time-and-event-pacing-guide,guides/climb-time-and-event-pacing-guide,Gids voor klimtijd en event pacing,Klimtijd- en eventpacinggids | BestBikeFit4U,Gids voor klimtijd en event pacing,Legt conservatieve pacing voor klimmen en events uit met links naar voeding en intensiteitsplanning.,Open klimplanner,/nl/calculators/climb-planner,"/nl/guides/wkg-and-power-zones-guide; /nl/guides/carbs-per-hour-guide; /nl/guides/hydration-and-sweat-rate-guide; /nl/guides/endurance-bike-fit-guide",
49,Fit science,Nieuw,/nl/guides/fit-science,guides/fit-science,Fit science,Fit science | BestBikeFit4U,Fit science,Brengt de science- en methodepagina's samen die het platform transparant en betrouwbaar maken.,Start gratis fit,/nl/login,"/nl/about; /nl/science/bike-fit-methods; /nl/guides/when-online-bike-fit-has-limits; /nl/guides/setup-parameters",Voeg dit toe als nieuwe hub en vervang de generieke Science-link in de footer hiermee.
