Order,Cluster,Status,Path,Slug,Page Title,Meta Title,H1,Page Brief,Primary CTA Label,Primary CTA Target,Internal-Link Targets,Notes / Redirects
16,Rider Profiles,New,/en/guides/rider-profiles,guides/rider-profiles,Rider Profile Bike Fit Guides,Rider Profile Bike Fit Guides | BestBikeFit4U,Rider Profile Bike Fit Guides,Groups content for proportion-led riders whose body type or capacity changes standard fit choices.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/bike-fit-for-tall-riders; /en/guides/bike-fit-for-riders-with-a-shorter-torso; /en/guides/bike-fit-for-riders-with-limited-flexibility; /en/guides/bike-fit-for-beginners-and-returning-riders",
17,Rider Profiles,New from use case,/en/guides/bike-fit-for-tall-riders,guides/bike-fit-for-tall-riders,Bike Fit for Tall Riders,Bike Fit for Tall Riders | BestBikeFit4U,Bike Fit for Tall Riders,Helps tall riders judge frame; cockpit; and component choices that still work cleanly at larger sizes.,Open Frame Size Calculator,/en/calculators/frame-size,"/en/guides/frame-size-guide; /en/science/stack-and-reach; /en/guides/road-vs-endurance-vs-race-geometry; /en/guides/reach-and-stem-guide",Create from /en/use-cases/tall-rider-bike-fit and redirect that legacy URL here.
18,Rider Profiles,New from use case,/en/guides/bike-fit-for-riders-with-a-shorter-torso,guides/bike-fit-for-riders-with-a-shorter-torso,Bike Fit for Riders with a Shorter Torso,Bike Fit for Shorter Torso Riders | BestBikeFit4U,Bike Fit for Riders with a Shorter Torso,Explains why shorter-torso riders often feel too stretched even on frames that look correct on paper.,Open Frame Size Calculator,/en/calculators/frame-size,"/en/guides/frame-size-guide; /en/guides/reach-and-stem-guide; /en/guides/handlebar-drop-guide; /en/guides/road-bike-fit-guide",Create from /en/use-cases/short-torso-bike-fit and redirect that legacy URL here.
19,Rider Profiles,New,/en/guides/bike-fit-for-riders-with-limited-flexibility,guides/bike-fit-for-riders-with-limited-flexibility,Bike Fit for Riders with Limited Flexibility,Bike Fit for Limited Flexibility Riders | BestBikeFit4U,Bike Fit for Riders with Limited Flexibility,Shows how flexibility limits sustainable drop and reach more than ambition does.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/handlebar-drop-guide; /en/guides/bike-fitting-for-lower-back-pain; /en/guides/endurance-bike-fit-guide; /en/about",
20,Rider Profiles,New,/en/guides/bike-fit-for-beginners-and-returning-riders,guides/bike-fit-for-beginners-and-returning-riders,Bike Fit for Beginners and Returning Riders,Beginner Bike Fit Guide | BestBikeFit4U,Bike Fit for Beginners and Returning Riders,Gives beginners and returning riders a conservative; confidence-building fit starting point.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/endurance-bike-fit-guide; /en/guides/saddle-height-guide; /en/guides/frame-size-guide; /en/about",
21,Setup Parameters,New,/en/guides/setup-parameters,guides/setup-parameters,Bike Setup Parameter Guides,Bike Setup Parameter Guides | BestBikeFit4U,Bike Setup Parameter Guides,Explains the output variables BestBikeFit4U recommends and what each number means on a real bike.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/saddle-height-guide; /en/guides/reach-and-stem-guide; /en/guides/handlebar-drop-guide; /en/guides/crank-length-guide",
22,Setup Parameters,New,/en/guides/saddle-height-guide,guides/saddle-height-guide,Saddle Height Guide,Saddle Height Guide | BestBikeFit4U,Saddle Height Guide,Covers saddle height logic; measurement method; validation; and signs of over- or under-setting.,Open Saddle Height Calculator,/en/calculators/saddle-height,"/en/guides/bike-fitting-for-knee-pain; /en/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores; /en/guides/road-bike-fit-guide; /en/about",
23,Setup Parameters,New,/en/guides/saddle-fore-aft-and-tilt-guide,guides/saddle-fore-aft-and-tilt-guide,Saddle Fore-Aft and Tilt Guide,Saddle Fore-Aft & Tilt Guide | BestBikeFit4U,Saddle Fore-Aft and Tilt Guide,Explains how setback and tilt work together to stabilize the pelvis and influence pressure distribution.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/bike-fitting-for-knee-pain; /en/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores; /en/guides/triathlon-bike-fit-guide; /en/about",
24,Setup Parameters,New,/en/guides/reach-and-stem-guide,guides/reach-and-stem-guide,Reach and Stem Guide,Reach & Stem Guide | BestBikeFit4U,Reach and Stem Guide,Shows how frame reach; stem length; bar shape; and hood position create total cockpit length.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/road-bike-fit-guide; /en/guides/bike-fitting-for-lower-back-pain; /en/guides/bike-fit-for-neck-and-shoulder-pain; /en/guides/frame-size-guide",
25,Setup Parameters,New,/en/guides/handlebar-drop-guide,guides/handlebar-drop-guide,Handlebar Drop Guide,Handlebar Drop Guide | BestBikeFit4U,Handlebar Drop Guide,Explains sustainable bar drop by flexibility; core stability; and riding goal.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/endurance-bike-fit-guide; /en/guides/triathlon-bike-fit-guide; /en/guides/bike-fitting-for-lower-back-pain; /en/guides/bike-fit-for-riders-with-limited-flexibility",
26,Setup Parameters,New,/en/guides/crank-length-guide,guides/crank-length-guide,Crank Length Guide,Crank Length Guide | BestBikeFit4U,Crank Length Guide,Covers when crank length is a genuine fit lever for joint range; hip angle; and control.,Open Crank Length Calculator,/en/calculators/crank-length,"/en/guides/mountain-bike-fit-guide; /en/guides/triathlon-bike-fit-guide; /en/guides/bike-fitting-for-knee-pain; /en/about",
27,Setup Parameters,New,/en/guides/handlebar-width-and-hood-position-guide,guides/handlebar-width-and-hood-position-guide,Handlebar Width and Hood Position Guide,Handlebar Width & Hood Position Guide | BestBikeFit4U,Handlebar Width and Hood Position Guide,Explains bar width; hood rotation; and lever reach as comfort and control variables rather than minor details.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/bike-fit-for-neck-and-shoulder-pain; /en/guides/bike-fit-for-hand-numbness-and-wrist-pain; /en/guides/gravel-bike-fit-guide; /en/guides/road-bike-fit-guide",
28,Shoe / Foot / Cleat Fit,New,/en/guides/shoe-foot-cleat-fit,guides/shoe-foot-cleat-fit,"Shoe, Foot & Cleat Fit Guides","Shoe, Foot & Cleat Fit Guides | BestBikeFit4U","Shoe, Foot & Cleat Fit Guides",Introduces the foot as a primary contact point and routes users into the detailed shoe and cleat workflow.,Open Shoe / Cleat Fit Module,/en/dashboard/shoe-cleat-fit,"/en/guides/foot-measurement-guide-for-cyclists; /en/guides/cleat-position-basics-guide; /en/guides/cycling-shoe-fit-width-and-last-guide; /en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes",
29,Shoe / Foot / Cleat Fit,New,/en/guides/foot-measurement-guide-for-cyclists,guides/foot-measurement-guide-for-cyclists,Foot Measurement Guide for Cyclists,Foot Measurement Guide for Cyclists | BestBikeFit4U,Foot Measurement Guide for Cyclists,Shows riders how to measure foot length; width; and left/right differences accurately at home.,Open Shoe / Cleat Fit Module,/en/dashboard/shoe-cleat-fit,"/en/guides/shoe-foot-cleat-fit; /en/guides/cycling-shoe-fit-width-and-last-guide; /en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /en/guides/cleat-position-basics-guide",
30,Shoe / Foot / Cleat Fit,New,/en/guides/cycling-shoe-fit-width-and-last-guide,guides/cycling-shoe-fit-width-and-last-guide,"Cycling Shoe Fit, Width, and Last Guide","Cycling Shoe Fit & Width Guide | BestBikeFit4U","Cycling Shoe Fit, Width, and Last Guide",Explains shoe shape; width; volume; and last selection before riders start chasing cleat changes.,Open Shoe / Cleat Fit Module,/en/dashboard/shoe-cleat-fit,"/en/guides/foot-measurement-guide-for-cyclists; /en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /en/guides/insoles-arch-support-and-footbeds-guide; /en/guides/cleat-position-basics-guide",
31,Shoe / Foot / Cleat Fit,New,/en/guides/cleat-position-basics-guide,guides/cleat-position-basics-guide,Cleat Position Basics Guide,Cleat Position Basics Guide | BestBikeFit4U,Cleat Position Basics Guide,Provides a safe public starting point for cleat fore-aft; rotation; float; and neutral setup.,Open Shoe / Cleat Fit Module,/en/dashboard/shoe-cleat-fit,"/en/guides/bike-fitting-for-knee-pain; /en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /en/guides/stance-width-q-factor-and-pedal-spacer-guide; /en/guides/cycling-shoe-fit-width-and-last-guide",
32,Shoe / Foot / Cleat Fit,New,/en/guides/stance-width-q-factor-and-pedal-spacer-guide,guides/stance-width-q-factor-and-pedal-spacer-guide,"Stance Width, Q-Factor, and Pedal Spacer Guide","Stance Width & Q-Factor Guide | BestBikeFit4U","Stance Width, Q-Factor, and Pedal Spacer Guide",Explains stance width; pedal spacers; and Q-factor when knee or hip tracking feels constrained.,Open Shoe / Cleat Fit Module,/en/dashboard/shoe-cleat-fit,"/en/guides/cleat-position-basics-guide; /en/guides/bike-fitting-for-knee-pain; /en/guides/mountain-bike-fit-guide; /en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes",
33,Shoe / Foot / Cleat Fit,New,/en/guides/insoles-arch-support-and-footbeds-guide,guides/insoles-arch-support-and-footbeds-guide,"Insoles, Arch Support, and Footbeds Guide","Insoles & Arch Support Guide | BestBikeFit4U","Insoles, Arch Support, and Footbeds Guide",Covers stock insoles versus added support and the risk of overcorrecting the foot.,Open Shoe / Cleat Fit Module,/en/dashboard/shoe-cleat-fit,"/en/guides/foot-measurement-guide-for-cyclists; /en/guides/cycling-shoe-fit-width-and-last-guide; /en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /en/guides/when-online-bike-fit-has-limits",
34,Bike Size & Geometry,New,/en/guides/bike-size-and-geometry,guides/bike-size-and-geometry,Bike Size & Geometry Guides,Bike Size & Geometry Guides | BestBikeFit4U,Bike Size & Geometry Guides,Helps riders translate body dimensions into realistic frame targets and better bike-shortlisting decisions.,Open Frame Size Calculator,/en/calculators/frame-size,"/en/guides/frame-size-guide; /en/science/stack-and-reach; /en/guides/road-vs-endurance-vs-race-geometry; /en/guides/how-to-compare-two-bikes-for-fit",
35,Bike Size & Geometry,New,/en/guides/frame-size-guide,guides/frame-size-guide,Frame Size Guide,Frame Size Guide | BestBikeFit4U,Frame Size Guide,Explains why frame size labels are weak predictors and what riders should compare instead.,Open Frame Size Calculator,/en/calculators/frame-size,"/en/science/stack-and-reach; /en/guides/bike-fit-for-tall-riders; /en/guides/bike-fit-for-riders-with-a-shorter-torso; /en/guides/road-vs-endurance-vs-race-geometry",
36,Bike Size & Geometry,Existing science page + reclassify,/en/science/stack-and-reach,science/stack-and-reach,Stack and Reach Explained,Stack and Reach Explained | BestBikeFit4U,Stack and Reach Explained,Gives a plain-English explanation of stack and reach and how they relate to body fit and bike choice.,Open Frame Size Calculator,/en/calculators/frame-size,"/en/guides/frame-size-guide; /en/guides/how-to-compare-two-bikes-for-fit; /en/guides/road-bike-fit-guide; /en/about",Keep existing science path for V1 but surface this page inside the Guides IA and footer.
37,Bike Size & Geometry,New,/en/guides/road-vs-endurance-vs-race-geometry,guides/road-vs-endurance-vs-race-geometry,Road vs Endurance vs Race Geometry,Road vs Endurance vs Race Geometry | BestBikeFit4U,Road vs Endurance vs Race Geometry,Compares geometry categories so riders understand how race; endurance; and road positions differ.,Open Frame Size Calculator,/en/calculators/frame-size,"/en/guides/frame-size-guide; /en/science/stack-and-reach; /en/guides/road-bike-fit-guide; /en/guides/endurance-bike-fit-guide",
38,Bike Size & Geometry,New,/en/guides/how-to-compare-two-bikes-for-fit,guides/how-to-compare-two-bikes-for-fit,How to Compare Two Bikes for Fit,How to Compare Two Bikes for Fit | BestBikeFit4U,How to Compare Two Bikes for Fit,Shows how to compare two candidate bikes using stack; reach; cockpit adjustability; and fit risk.,Open Compare Bikes,/en/bikes/compare-fit,"/en/science/stack-and-reach; /en/guides/frame-size-guide; /en/guides/road-vs-endurance-vs-race-geometry; /en/guides/bike-fit-for-tall-riders",
39,Nutrition & Hydration,New,/en/guides/nutrition-and-hydration,guides/nutrition-and-hydration,Cycling Nutrition & Hydration Guides,Cycling Nutrition & Hydration Guides | BestBikeFit4U,Cycling Nutrition & Hydration Guides,Introduces practical public fueling guidance and explains what the future planner will personalize.,Open Fuel & Hydration Planner,/en/calculators/fuel-hydration,"/en/guides/cycling-fueling-basics; /en/guides/carbs-per-hour-guide; /en/guides/hydration-and-sweat-rate-guide; /en/guides/sodium-and-electrolytes-guide",
40,Nutrition & Hydration,New,/en/guides/cycling-fueling-basics,guides/cycling-fueling-basics,Cycling Fueling Basics,Cycling Fueling Basics | BestBikeFit4U,Cycling Fueling Basics,Gives beginners a simple pre; during; and post-ride fueling model they can actually use.,Open Fuel & Hydration Planner,/en/calculators/fuel-hydration,"/en/guides/carbs-per-hour-guide; /en/guides/hydration-and-sweat-rate-guide; /en/guides/endurance-bike-fit-guide; /en/guides/indoor-trainer-bike-fit-guide",
41,Nutrition & Hydration,New,/en/guides/carbs-per-hour-guide,guides/carbs-per-hour-guide,Carbs per Hour Guide,Carbs per Hour Guide | BestBikeFit4U,Carbs per Hour Guide,Explains carbohydrate needs by duration; intensity; and gut tolerance.,Open Fuel & Hydration Planner,/en/calculators/fuel-hydration,"/en/guides/cycling-fueling-basics; /en/guides/hydration-and-sweat-rate-guide; /en/guides/sodium-and-electrolytes-guide; /en/guides/climb-time-and-event-pacing-guide",
42,Nutrition & Hydration,New,/en/guides/hydration-and-sweat-rate-guide,guides/hydration-and-sweat-rate-guide,Hydration and Sweat Rate Guide,Hydration & Sweat Rate Guide | BestBikeFit4U,Hydration and Sweat Rate Guide,Shows how to estimate sweat rate and turn it into bottle planning.,Open Fuel & Hydration Planner,/en/calculators/fuel-hydration,"/en/guides/cycling-fueling-basics; /en/guides/sodium-and-electrolytes-guide; /en/guides/indoor-trainer-bike-fit-guide; /en/guides/endurance-bike-fit-guide",
43,Nutrition & Hydration,New,/en/guides/sodium-and-electrolytes-guide,guides/sodium-and-electrolytes-guide,Sodium and Electrolytes Guide,Sodium & Electrolytes Guide | BestBikeFit4U,Sodium and Electrolytes Guide,Explains when sodium matters and how to think in useful ranges rather than fake precision.,Open Fuel & Hydration Planner,/en/calculators/fuel-hydration,"/en/guides/hydration-and-sweat-rate-guide; /en/guides/cycling-fueling-basics; /en/guides/carbs-per-hour-guide; /en/guides/climb-time-and-event-pacing-guide",
44,Power / FTP / Pacing,New,/en/guides/power-ftp-pacing,guides/power-ftp-pacing,"Power, FTP & Pacing Guides","Power, FTP & Pacing Guides | BestBikeFit4U","Power, FTP & Pacing Guides",Collects performance tools and explains how power; speed; and pacing fit into the platform.,Open FTP / W/kg Calculator,/en/calculators/ftp-wkg,"/en/guides/ftp-explained; /en/guides/wkg-and-power-zones-guide; /en/guides/power-to-speed-guide; /en/guides/climb-time-and-event-pacing-guide",
45,Power / FTP / Pacing,New,/en/guides/ftp-explained,guides/ftp-explained,FTP Explained,FTP Explained | BestBikeFit4U,FTP Explained,Defines FTP; its limits; and how riders should use it in training and pacing.,Open FTP / W/kg Calculator,/en/calculators/ftp-wkg,"/en/guides/wkg-and-power-zones-guide; /en/guides/power-to-speed-guide; /en/about; /en/guides/triathlon-bike-fit-guide",
46,Power / FTP / Pacing,New,/en/guides/wkg-and-power-zones-guide,guides/wkg-and-power-zones-guide,W/kg and Power Zones Guide,W/kg & Power Zones Guide | BestBikeFit4U,W/kg and Power Zones Guide,Explains threshold-derived zones and why W/kg matters more on climbs than on flats.,Open FTP / W/kg Calculator,/en/calculators/ftp-wkg,"/en/guides/ftp-explained; /en/guides/power-to-speed-guide; /en/guides/climb-time-and-event-pacing-guide; /en/guides/endurance-bike-fit-guide",
47,Power / FTP / Pacing,New,/en/guides/power-to-speed-guide,guides/power-to-speed-guide,Power-to-Speed Guide,Power-to-Speed Guide | BestBikeFit4U,Power-to-Speed Guide,Shows how power; aerodynamics; weight; tyres; gradient; and weather influence speed.,Open Power / Speed Estimator,/en/calculators/power-speed,"/en/guides/ftp-explained; /en/guides/wkg-and-power-zones-guide; /en/about; /en/guides/road-bike-fit-guide",
48,Power / FTP / Pacing,New,/en/guides/climb-time-and-event-pacing-guide,guides/climb-time-and-event-pacing-guide,Climb Time and Event Pacing Guide,Climb Time & Event Pacing Guide | BestBikeFit4U,Climb Time and Event Pacing Guide,Explains conservative pacing for climbs and events with links to fueling and intensity planning.,Open Climb Planner,/en/calculators/climb-planner,"/en/guides/wkg-and-power-zones-guide; /en/guides/carbs-per-hour-guide; /en/guides/hydration-and-sweat-rate-guide; /en/guides/endurance-bike-fit-guide",
49,Fit Science,New,/en/guides/fit-science,guides/fit-science,Fit Science,Fit Science | BestBikeFit4U,Fit Science,Collects the science and method pages that make the platform transparent and trustworthy.,Start Free Fit,/en/login,"/en/about; /en/science/bike-fit-methods; /en/guides/when-online-bike-fit-has-limits; /en/guides/setup-parameters",Add this as the new hub and replace the generic footer Science link with it.
50,Fit Science,Existing + expand,/en/about,about,How BestBikeFit4U Works,How BestBikeFit4U Works | Bike Fitting Methodology,How BestBikeFit4U Works,Explains the BestBikeFit4U input model; fit logic; and why outputs are practical rather than falsely exact.,Start Free Fit,/en/login,"/en/science/bike-fit-methods; /en/guides/setup-parameters; /en/science/stack-and-reach; /en/guides/bike-fitting-for-knee-pain",Treat /en/about as the canonical methodology page. Merge any overlapping calculation-engine content into this page.
51,Fit Science,Existing + expand,/en/science/bike-fit-methods,science/bike-fit-methods,Bike Fitting Methods Explained,Bike Fitting Methods Explained | BestBikeFit4U,Bike Fitting Methods Explained,Translates LeMond; Holmes; KOPS; and stack/reach into plain-English method guidance.,Start Free Fit,/en/login,"/en/about; /en/science/stack-and-reach; /en/guides/saddle-height-guide; /en/guides/when-online-bike-fit-has-limits",Keep existing science path for V1 and update title/H1 to better match search intent.
52,Fit Science,New,/en/guides/when-online-bike-fit-has-limits,guides/when-online-bike-fit-has-limits,When Online Bike Fit Has Limits,When Online Bike Fit Has Limits | BestBikeFit4U,When Online Bike Fit Has Limits,Explains when online guidance is appropriate and when recurring pain or complexity needs in-person help.,Start Free Fit,/en/login,"/en/about; /en/science/bike-fit-methods; /en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /en/guides/bike-fitting-for-lower-back-pain",
