brand_id,brand,model_slug,model,representative_model_page,representative_year,size_label,stack_mm,reach_mm,data_quality,source_url,source_ref,source_note
bmc,BMC,bmc-kaius,Kaius,BMC Kaius 01 2023,2023,56,570,405,representative_latest_year,https://geometrygeeks.bike/bike/bmc-kaius-01-2023/,turn14search7,Use snippet stack|reach pairs.
bmc,BMC,bmc-kaius,Kaius,BMC Kaius 01 2023,2023,58,595,410,representative_latest_year,https://geometrygeeks.bike/bike/bmc-kaius-01-2023/,turn14search7,Use snippet stack|reach pairs.
bmc,BMC,bmc-kaius,Kaius,BMC Kaius 01 2023,2023,61,620,414,representative_latest_year,https://geometrygeeks.bike/bike/bmc-kaius-01-2023/,turn14search7,Use snippet stack|reach pairs.
trek,Trek,trek-madone,Madone,TREK Madone SLR Gen 8 2024,2024,XS,507,370,representative_latest_year,https://geometrygeeks.bike/bike/trek-madone-slr-gen-8-2024/,turn15search2,Use snippet stack|reach pairs; representative geometry for Madone family.
trek,Trek,trek-madone,Madone,TREK Madone SLR Gen 8 2024,2024,S,530,378,representative_latest_year,https://geometrygeeks.bike/bike/trek-madone-slr-gen-8-2024/,turn15search2,Use snippet stack|reach pairs; representative geometry for Madone family.
trek,Trek,trek-madone,Madone,TREK Madone SLR Gen 8 2024,2024,M,546,384,representative_latest_year,https://geometrygeeks.bike/bike/trek-madone-slr-gen-8-2024/,turn15search2,Use snippet stack|reach pairs; representative geometry for Madone family.
trek,Trek,trek-madone,Madone,TREK Madone SLR Gen 8 2024,2024,ML,562,389,representative_latest_year,https://geometrygeeks.bike/bike/trek-madone-slr-gen-8-2024/,turn15search2,Use snippet stack|reach pairs; representative geometry for Madone family.
trek,Trek,trek-madone,Madone,TREK Madone SLR Gen 8 2024,2024,L,582,394,representative_latest_year,https://geometrygeeks.bike/bike/trek-madone-slr-gen-8-2024/,turn15search2,Use snippet stack|reach pairs; representative geometry for Madone family.
trek,Trek,trek-madone,Madone,TREK Madone SLR Gen 8 2024,2024,XL,610,402,representative_latest_year,https://geometrygeeks.bike/bike/trek-madone-slr-gen-8-2024/,turn15search2,Use snippet stack|reach pairs; representative geometry for Madone family.
cervelo,Cervelo,cervelo-aspero,Aspero,Cervelo Aspero 2024,2024,48,505,370,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-aspero-2024/,turn15search4,Use snippet stack|reach pairs.
cervelo,Cervelo,cervelo-aspero,Aspero,Cervelo Aspero 2024,2024,51,530,379,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-aspero-2024/,turn15search4,Use snippet stack|reach pairs.
cervelo,Cervelo,cervelo-aspero,Aspero,Cervelo Aspero 2024,2024,54,555,388,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-aspero-2024/,turn15search4,Use snippet stack|reach pairs.
cervelo,Cervelo,cervelo-aspero,Aspero,Cervelo Aspero 2024,2024,56,580,397,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-aspero-2024/,turn15search4,Use snippet stack|reach pairs.
cervelo,Cervelo,cervelo-aspero,Aspero,Cervelo Aspero 2024,2024,58,605,406,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-aspero-2024/,turn15search4,Use snippet stack|reach pairs.
cervelo,Cervelo,cervelo-aspero,Aspero,Cervelo Aspero 2024,2024,61,630,415,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-aspero-2024/,turn15search4,Use snippet stack|reach pairs.
canyon,Canyon,canyon-endurace,Endurace,Canyon Endurace 2022,2022,3XS,510,350,representative_latest_year,https://geometrygeeks.bike/bike/canyon-endurace-2022/,turn15search5,Use snippet stack|reach pairs; representative geometry for Endurace family.
canyon,Canyon,canyon-endurace,Endurace,Canyon Endurace 2022,2022,2XS,529,354,representative_latest_year,https://geometrygeeks.bike/bike/canyon-endurace-2022/,turn15search5,Use snippet stack|reach pairs; representative geometry for Endurace family.
canyon,Canyon,canyon-endurace,Endurace,Canyon Endurace 2022,2022,XS,548,370,representative_latest_year,https://geometrygeeks.bike/bike/canyon-endurace-2022/,turn15search5,Use snippet stack|reach pairs; representative geometry for Endurace family.
canyon,Canyon,canyon-endurace,Endurace,Canyon Endurace 2022,2022,S,568,375,representative_latest_year,https://geometrygeeks.bike/bike/canyon-endurace-2022/,turn15search5,Use snippet stack|reach pairs; representative geometry for Endurace family.
canyon,Canyon,canyon-endurace,Endurace,Canyon Endurace 2022,2022,M,590,378,representative_latest_year,https://geometrygeeks.bike/bike/canyon-endurace-2022/,turn15search5,Use snippet stack|reach pairs; representative geometry for Endurace family.
canyon,Canyon,canyon-endurace,Endurace,Canyon Endurace 2022,2022,L,611,387,representative_latest_year,https://geometrygeeks.bike/bike/canyon-endurace-2022/,turn15search5,Use snippet stack|reach pairs; representative geometry for Endurace family.
canyon,Canyon,canyon-endurace,Endurace,Canyon Endurace 2022,2022,XL,637,405,representative_latest_year,https://geometrygeeks.bike/bike/canyon-endurace-2022/,turn15search5,Use snippet stack|reach pairs; representative geometry for Endurace family.
canyon,Canyon,canyon-endurace,Endurace,Canyon Endurace 2022,2022,2XL,656,414,representative_latest_year,https://geometrygeeks.bike/bike/canyon-endurace-2022/,turn15search5,Use snippet stack|reach pairs; representative geometry for Endurace family.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,S (lo),625,432,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,S (hi),623,435,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,M (lo),634,457,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,M (hi),632,460,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,L (lo),643,477,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,L (hi),641,480,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,XL (lo),661,497,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,XL (hi),659,500,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,XXL (lo),670,522,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-hightower,Hightower,Santa Cruz Hightower V4 2025,2025,XXL (hi),668,525,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-hightower-v4-2025-1/,turn15search3,Low/high flip-chip settings are separate size rows.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,XS (lo),601,405,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,Low setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,XS (hi),603,403,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,High setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,S (lo),610,430,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,Low setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,S (hi),612,428,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,High setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,M (lo),619,455,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,Low setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,M (hi),621,453,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,High setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,L (lo),628,475,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,Low setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,L (hi),630,473,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,High setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,XL (lo),646,495,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,Low setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,XL (hi),648,493,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,High setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,XXL (lo),656,520,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,Low setting parsed from page lines with low/high pairs shown side-by-side.
santa-cruz,Santa Cruz,santa-cruz-tallboy,Tallboy,Santa Cruz Tallboy 2025,2025,XXL (hi),658,518,representative_latest_year,https://geometrygeeks.bike/bike/santa-cruz-tallboy-2025/,turn13view4,High setting parsed from page lines with low/high pairs shown side-by-side.
